Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
57,2020,"Fengyuan Zhu, Tovi Grossman",BISHARE: Exploring bidirectional interactions between smartphones and head-mounted augmented reality,"@inproceedings{zhu2020bishare,
  title = {{{BISHARE}}: {{Exploring}} Bidirectional Interactions between Smartphones and Head-Mounted Augmented Reality},
  booktitle = {Proceedings of the 2020 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Zhu, Fengyuan and Grossman, Tovi},
  year = {2020},
  series = {Chi '20},
  pages = {1--14},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3313831.3376233},
  abstract = {In pursuit of a future where HMD devices can be used in tandem with smartphones and other smart devices, we present BISHARE, a design space of cross-device interactions between smartphones and ARHMDs. Our design space is unique in that it is bidirectional in nature, as it examines how both the HMD can be used to enhance smartphone tasks, and how the smartphone can be used to enhance HMD tasks. We then present an interactive prototype that enables cross-device interactions across the proposed design space. A 12-participant user study demonstrates the promise of the design space and provides insights, observations, and guidance for the future.},
  isbn = {978-1-4503-6708-0}
}",10.1145/3313831.3376233,x,,,,,,,,,x,,,,,,,,,,,,,x,,x,x,,x,,,,x,,,x,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,-,-,,,,,,,,,x,,,
58,2020,"Michael Nebeling, Maximilian Speicher, Xizi Wang, Shwetha Rajaram, Brian D. Hall, Zijian Xie, Alexander R. E. Raistrick, Michelle Aebersold, Edward G. Happ, Jiayin Wang, Yanan Sun, Lotus Zhang, Leah E. Ramsier, Rhea Kulkarni",MRAT: The mixed reality analytics toolkit,"@inproceedings{nebeling2020mrat,
  title = {{{MRAT}}: {{The}} Mixed Reality Analytics Toolkit},
  booktitle = {Proceedings of the 2020 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Nebeling, Michael and Speicher, Maximilian and Wang, Xizi and Rajaram, Shwetha and Hall, Brian D. and Xie, Zijian and Raistrick, Alexander R. E. and Aebersold, Michelle and Happ, Edward G. and Wang, Jiayin and Sun, Yanan and Zhang, Lotus and Ramsier, Leah E. and Kulkarni, Rhea},
  year = {2020},
  series = {Chi '20},
  pages = {1--12},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3313831.3376330},
  abstract = {Significant tool support exists for the development of mixed reality (MR) applications; however, there is a lack of tools for analyzing MR experiences. We elicit requirements for future tools through interviews with 8 university research, instructional, and media teams using AR/VR in a variety of domains. While we find a common need for capturing how users perform tasks in MR, the primary differences were in terms of heuristics and metrics relevant to each project. Particularly in the early project stages, teams were uncertain about what data should, and even could, be collected with MR technologies. We designed the Mixed Reality Analytics Toolkit (MRAT) to instrument MR apps via visual editors without programming and enable rapid data collection and filtering for visualizations of MR user sessions. With MRAT, we contribute flexible interaction tracking and task definition concepts, an extensible set of heuristic techniques and metrics to measure task success, and visual inspection tools with in-situ visualizations in MR. Focusing on a multi-user, cross-device MR crisis simulation and triage training app as a case study, we then show the benefits of using MRAT, not only for user testing of MR apps, but also performance tuning throughout the design process.},
  isbn = {978-1-4503-6708-0}
}",10.1145/3313831.3376330,-,-,,,,,,-,,-,-,,,,,,,,,,,,x,,,x,x,x,,x,,x,,,,x,,,x,,x,,,,x,x,,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
60,2020,"Patrick Reipschläger, Severin Engert, Raimund Dachselt",Augmented displays: Seamlessly extending interactive surfaces with head-mounted augmented reality,"@inproceedings{reipschlager2020augmented,
  title = {Augmented Displays: {{Seamlessly}} Extending Interactive Surfaces with Head-Mounted Augmented Reality},
  booktitle = {Conference on {{Human Factors}} in {{Computing Systems}} - {{Proceedings}}},
  author = {Reipschl{\""a}ger, Patrick and Engert, Severin and Dachselt, Raimund},
  year = {2020},
  month = apr,
  pages = {1--4},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3334480.3383138},
  abstract = {We present Augmented Displays, a new class of display systems combining high-resolution interactive surfaces with head-coupled Augmented Reality. This extends the screen estate beyond the display and enables placing AR content directly at the display's borders or within the real environment. Furthermore, it enables people to interact with AR objects with natural pen and touch input in high precision on the surface. This combination allows a variety of interesting applications. To illustrate them, we present two use cases: An immersive 3D modeling tool and an architectural design tool. Our goal is to demonstrate the potential of Augmented Displays as a foundation for future work in the design space of this exciting new class of systems.},
  isbn = {978-1-4503-6819-3}
}",10.1145/3334480.3383138,x,,,,,,,,,,,,,,,x,,,,,x,x,x,,x,,,x,,,,x,,,,x,,,,x,x,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,,,x,,,,,-,,,,,,,x,,,,,
61,2020,"Shengzhi Wu, Daragh Byrne, Molly Steenson Wright","""Megereality"": Leveraging physical affordances for multi-device gestural interaction in augmented reality","@inproceedings{wu2020megereality,
  title = {""{{Megereality}}"": {{Leveraging}} Physical Affordances for Multi-Device Gestural Interaction in Augmented Reality},
  booktitle = {Extended Abstracts of the 2020 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Wu, Shengzhi and Byrne, Daragh and Steenson, Molly Wright},
  year = {2020},
  series = {Chi Ea '20},
  pages = {1--4},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3334480.3383170},
  abstract = {We present a novel gestural interaction strategy for multi-device interactions in augmented reality (AR), in which we leverage existing physical affordances of everyday products and spaces for intuitive interactions in AR. To explore this concept, we designed and prototyped three demo scenarios: pulling virtual sticky notes from a tablet, pulling a 3D model from a computer display, and 'slurping' color from the real-world environment to smart lights with a virtual eyedropper. By merging the boundary of digital and physical, utilizing metaphors in AR and embodying the abstract process, we demonstrate an interaction strategy that harnesses the physical affordances to assist digital interaction in AR with hand gestures.},
  isbn = {978-1-4503-6819-3}
}",10.1145/3334480.3383170,,x,,,,,,,,,x,,x,,,,,,,,,,,x,x,,,x,,,,x,,,x,,,,x,,x,,,x,,,,,,,,,,,x,x,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,
62,2019,"Patrick Reipschläger, Raimund Dachselt",DesignAR: Immersive 3D-Modeling Combining Augmented Reality with Interactive Displays,"@inproceedings{reipschlager2019designar,
  title = {{{DesignAR}}: {{Immersive 3D-Modeling Combining Augmented Reality}} with {{Interactive Displays}}},
  shorttitle = {{{DesignAR}}},
  booktitle = {Proceedings of the 2019 {{ACM International Conference}} on {{Interactive Surfaces}} and {{Spaces}}  - {{ISS}} '19},
  author = {Reipschl{\""a}ger, Patrick and Dachselt, Raimund},
  year = {2019},
  pages = {29--41},
  publisher = {ACM Press},
  address = {Daejeon, Republic of Korea},
  doi = {10.1145/3343055.3359718},
  isbn = {978-1-4503-6891-9},
  langid = {english}
}",10.1145/3343055.3359718,x,,,,,,,,,,,,,,,x,,,,,x,x,,,x,,,x,,,,x,,,,x,,,,x,x,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,
68,2020,"Rishi Vanukuru, Amarnath Murugan, Jayesh Pillai",Dual phone AR: Using a second phone as a controller for mobile augmented reality,"@inproceedings{vanukuru2020duala,
  title = {Dual Phone {{AR}}: {{Using}} a Second Phone as a Controller for Mobile Augmented Reality},
  booktitle = {Adjunct Proceedings of the 33rd Annual {{ACM}} Symposium on User Interface Software and Technology},
  author = {Vanukuru, Rishi and Murugan, Amarnath and Pillai, Jayesh},
  year = {2020},
  series = {{{UIST}} '20 Adjunct},
  pages = {117--119},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3379350.3416139},
  abstract = {Mobile Augmented Reality applications have become increasingly popular, however the possible interactions with AR content are largely limited to on-screen gestures and spatial movement. There has been a renewed interest in designing interaction methods for mobile AR that go beyond the screen. Mobile phones present a rich range of input, output, and tracking capabilities, and have been used as controllers for Virtual Reality and head-mounted Augmented Reality applications. In this project, we explore the use of a second phone as a controller for Mobile AR. We developed ARTWO, an application that showcases Handheld Dual Phone AR through a series of small demos in which a second phone can be used to perform basic tasks such as pointing, selecting, and drawing, in the context of real use cases. We believe that the Dual Phone AR approach can help address many of the issues faced when using conventional mobile AR interactions, and also serves as a stepping stone to the general use of phones with head-mounted AR systems in the near future.},
  isbn = {978-1-4503-7515-3}
}",10.1145/3379350.3416139,,,x,,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,x,,x,,x,,,x,,,x,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
77,2021,"Carolin Reichherzer, Jack Fraser, Damien Rompapas Constantine, Mark Billinghurst",SecondSight: a framework for cross-device augmented reality interfaces,"@inproceedings{reichherzer2021secondsighta,
  title = {{{SecondSight}}: A Framework for Cross-Device Augmented Reality Interfaces},
  booktitle = {Extended Abstracts of the 2021 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Reichherzer, Carolin and Fraser, Jack and Rompapas, Damien Constantine and Billinghurst, Mark},
  year = {2021},
  series = {Chi Ea '21},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3411763.3451839},
  abstract = {This paper describes a modular framework developed to facilitate the design space exploration of cross-device Augmented Reality (AR) interfaces that combine an AR head-mounted display (HMD) with a smartphone. Currently, there is a growing interest in how AR HMDs can be used with smartphones to improve the user's AR experience. In this work, we describe a framework that enables rapid prototyping and evaluation of an interface. Our system enables different modes of interaction, content placement, and simulated AR HMD field of view to assess which combination is best suited to inform future researchers on design recommendations. We provide examples of how the framework could be used to create sample applications, the types of the studies which could be supported, and example results from a simple pilot study.},
  articleno = {234},
  isbn = {978-1-4503-8095-9}
}",10.1145/3411763.3451839,x,,,,,,,,,x,,,,,,,,,,,,x,x,,x,,,x,,,,x,,,,,x,,,x,x,,,x,,x,,x,,,,,,,,,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
79,2021,"Ricardo Langner, Marc Satkowski, Wolfgang Büschel, Raimund Dachselt, Wolfgang Buschel, Raimund Dachselt",MARVIS: Combining Mobile Devices and Augmented Reality for Visual Data Analysis,"@inproceedings{langner2021marvis,
  title = {{{MARVIS}}: {{Combining Mobile Devices}} and {{Augmented Reality}} for {{Visual Data Analysis}}},
  booktitle = {Conference on {{Human Factors}} in {{Computing Systems}} - {{Proceedings}}},
  author = {Langner, Ricardo and Satkowski, Marc and B{\""u}schel, Wolfgang and Dachselt, Raimund and Buschel, Wolfgang and Dachselt, Raimund},
  year = {2021},
  month = may,
  publisher = {ACM},
  address = {New York, NY, USA},
  doi = {10.1145/3411764.3445593},
  abstract = {We present Marvis, a conceptual framework that combines mobile devices and head-mounted Augmented Reality (AR) for visual data analysis. We propose novel concepts and techniques addressing visualization-specifc challenges. By showing additional 2D and 3D information around and above displays, we extend their limited screen space. AR views between displays as well as linking and brushing are also supported, making relationships between separated visualizations plausible. We introduce the design process and rationale for our techniques. To validate Marvis' concepts and show their versatility and widespread applicability, we describe six implemented example use cases. Finally, we discuss insights from expert hands-on reviews. As a result, we contribute to a better understanding of how the combination of one or more mobile devices with AR can beneft visual data analysis. By exploring this new type of visualization environment, we hope to provide a foundation and inspiration for future mobile data visualizations.},
  isbn = {978-1-4503-8096-6}
}",10.1145/3411764.3445593,x,,,,,,,,,,x,,,,,,,,,,x,x,,,x,,,x,x,x,,x,x,,,x,,,,x,x,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,x,,,,-,-,,,,,,x,x,,x,,,
86,2021,"Eugenie Brasier, Emmanuel Pietriga, Caroline Appert",AR-enhanced widgets for smartphone-centric interaction,"@inproceedings{brasier2021arenhanced,
  title = {{{AR-enhanced}} Widgets for Smartphone-Centric Interaction},
  booktitle = {Proceedings of the 23rd International Conference on Mobile Human-Computer Interaction},
  author = {Brasier, Eugenie and Pietriga, Emmanuel and Appert, Caroline},
  year = {2021},
  series = {{{MobileHCI}} '21},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3447526.3472019},
  abstract = {We contribute a detailed investigation of AR-enhanced widgets for smartphones, where AR technology is not only used to offload widgets from the phone to the air around it, but to give users more control on input precision as well. Such widgets have the obvious benefit of freeing up screen real-estate on the phone, but their other potential benefits remain largely theoretical. Their limitations are not well understood, most particularly in terms of input performance. We compare different AR-enhanced widget designs against their state-of-the-art touch-only counterparts with a series of exploratory studies in which participants had to perform three tasks: command trigger, parameter value adjustment, and precise 2D selection. We then derive guidelines from our empirical observations.},
  articleno = {32},
  isbn = {978-1-4503-8328-8}
}",10.1145/3447526.3472019,x,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,x,,,,x,,,,,x,,x,,x,,x,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,-,,,,,,,,,x,,,
103,2023,"Jan-Henrik Schröder, Daniel Schacht, Niklas Peper, Anita Hamurculu Marie, Hans Jetter-Christian",Collaborating across realities: Analytical lenses for understanding dyadic collaboration in transitional interfaces,"@inproceedings{schroder2023collaborating,
  title = {Collaborating across Realities: {{Analytical}} Lenses for Understanding Dyadic Collaboration in Transitional Interfaces},
  booktitle = {Proceedings of the 2023 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Schr{\""o}der, Jan-Henrik and Schacht, Daniel and Peper, Niklas and Hamurculu, Anita Marie and Jetter, Hans-Christian},
  year = {2023},
  series = {Chi '23},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544548.3580879},
  abstract = {Transitional Interfaces are a yet underexplored, emerging class of cross-reality user interfaces that enable users to freely move along the reality-virtuality continuum during collaboration. To analyze and understand how such collaboration unfolds, we propose four analytical lenses derived from an exploratory study of transitional collaboration with 15 dyads. While solving a complex spatial optimization task, participants could freely switch between three contexts, each with different displays (desktop screens, tablet-based augmented reality, head-mounted virtual reality), input techniques (mouse, touch, handheld controllers), and visual representations (monoscopic and allocentric 2D/3D maps, stereoscopic egocentric views). Using the rich qualitative and quantitative data from our study, we evaluated participants' perceptions of transitional collaboration and identified commonalities and differences between dyads. We then derived four lenses including metrics and visualizations to analyze key aspects of transitional collaboration: (1) place and distance, (2) temporal patterns, (3) group use of contexts, (4) individual use of contexts.},
  articleno = {97},
  isbn = {978-1-4503-9421-5}
}",10.1145/3544548.3580879,,,,x,,,,x,,,,,x,,,,,,,,,,x,,,,x,,,x,,,x,,x,,,,x,,x,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,x,,,,,-,,,,,,,x,,,,,,
104,2023,"Sebastian Hubenschmid, Johannes Zagermann, Daniel Leicht, Harald Reiterer, Tiare Feuchtner",ARound the Smartphone: Investigating the Effects of Virtually-Extended Display Size on Spatial Memory,"@inproceedings{hubenschmid2023smartphone,
  title = {{{ARound}} the {{Smartphone}}: {{Investigating}} the {{Effects}} of {{Virtually-Extended Display Size}} on {{Spatial Memory}}},
  shorttitle = {{{ARound}} the {{Smartphone}}},
  booktitle = {Proceedings of the 2023 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Hubenschmid, Sebastian and Zagermann, Johannes and Leicht, Daniel and Reiterer, Harald and Feuchtner, Tiare},
  year = {2023},
  month = apr,
  pages = {1--15},
  publisher = {ACM},
  address = {Hamburg Germany},
  doi = {10.1145/3544548.3581438},
  isbn = {978-1-4503-9421-5},
  langid = {english}
}",10.1145/3544548.3581438,,x,,,,,,,,x,,,,,,,,,,,,x,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
105,2023,"Neil Chulpongsatorn, Wesley Willett, Ryo Suzuki",HoloTouch: Interacting with mixed reality visualizations through smartphone proxies,"@inproceedings{chulpongsatorn2023holotouch,
  title = {{{HoloTouch}}: {{Interacting}} with Mixed Reality Visualizations through Smartphone Proxies},
  booktitle = {Extended Abstracts of the 2023 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Chulpongsatorn, Neil and Willett, Wesley and Suzuki, Ryo},
  year = {2023},
  series = {Chi Ea '23},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3544549.3585738},
  abstract = {We contribute interaction techniques for augmenting mixed reality (MR) visualizations with smartphone proxies. By combining head-mounted displays (HMDs) with mobile touchscreens, we can augment low-resolution holographic 3D charts with precise touch input, haptics feedback, high-resolution 2D graphics, and physical manipulation. Our approach aims to complement both MR and physical visualizations. Most current MR visualizations suffer from unreliable tracking, low visual resolution, and imprecise input. Data physicalizations on the other hand, although allowing for natural physical manipulation, are limited in dynamic and interactive modification. We demonstrate how mobile devices such as smartphones or tablets can serve as physical proxies for MR data interactions, creating dynamic visualizations that support precise manipulation and rich input and output. We describe 6 interaction techniques that leverage the combined physicality, sensing, and output capabilities of HMDs and smartphones, and demonstrate those interactions via a prototype system. Based on an evaluation, we outline opportunities for combining the advantages of both MR and physical charts.},
  articleno = {156},
  isbn = {978-1-4503-9422-2}
}",10.1145/3544549.3585738,x,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,x,,,,x,,,,,x,,,x,x,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
112,2023,"Zhigeng Pan, Zhipeng Pan, Tianren Luo, Mingmin Zhang",Exploring the use of smartphones as input devices for the mixed reality environment,"@inproceedings{pan2023exploring,
  title = {Exploring the Use of Smartphones as Input Devices for the Mixed Reality Environment},
  booktitle = {Proceedings of the 18th {{ACM SIGGRAPH}} International Conference on Virtual-Reality Continuum and Its Applications in Industry},
  author = {Pan, Zhigeng and Pan, Zhipeng and Luo, Tianren and Zhang, Mingmin},
  year = {2023},
  series = {Vrcai '22},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3574131.3574451},
  abstract = {Nowadays, researches on mixed reality (MR) have made a lot of exploration in the aspects of user experience, hardware devices, interaction technologies, application systems, etc. However, more research is still needed to explore how to improve the experience in the shared MR Environment and design appropriate collaborative interaction models. The traditional VR handle can realize tool simulation and 3D interaction, while smartphones can realize 2D interactions such as fast 2D gestures, text input and handwriting. Using the mobile phone as the handle of the MR headset can realize the complementary advantages of the two. In this study, we design a cross-device collaborative system sharing a hybrid reality environment. In the MR Environment, the smartphone will realize the functions of the controller for remote selection and manipulation of objects, and its advantages in 2D interaction can be well applied to some special tasks. We design the user interface with three levels of immersion: high, medium and low. High immersion: We provide a hybrid user interface combining a HoloLens2 and a smartphone. Medium immersion: We provide a 3D user interface represented by HoloLens2. Low immersion: We provide a multi-touch user interface represented by tablet. User studies show that the hybrid user interfaces can bring users satisfactory immersion and interactive experience, but it also needs to design accurate and efficient input methods according to the interactive tasks.},
  articleno = {33},
  isbn = {9798400700316}
}
",10.1145/3574131.3574451,x,,x,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x
123,2024,"Johann Wentzel, Fraser Anderson, George Fitzmaurice, Tovi Grossman, Daniel Vogel",SwitchSpace: Understanding context-aware peeking between VR and desktop interfaces,"@inproceedings{wentzel2024switchspace,
  title = {{{SwitchSpace}}: {{Understanding}} Context-Aware Peeking between {{VR}} and Desktop Interfaces},
  booktitle = {Proceedings of the {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Wentzel, Johann and Anderson, Fraser and Fitzmaurice, George and Grossman, Tovi and Vogel, Daniel},
  year = {2024},
  series = {Chi '24},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3613904.3642358},
  abstract = {Cross-reality tasks, like creating or consuming virtual reality (VR) content, often involve inconvenient or distracting switches between desktop and VR. An initial formative study explores cross-reality switching habits, finding most switches are momentary ``peeks'' between interfaces, with specific habits determined by current context. The results inform a design space for context-aware ``peeking'' techniques that allow users to view or interact with desktop from VR, and vice versa, without fully switching. We implemented a set of peeking techniques and evaluated them in two levels of a cross-reality task: one requiring only viewing, and another requiring input and viewing. Peeking techniques made task completion faster, with increased input accuracy and reduced perceived workload.},
  articleno = {801},
  isbn = {9798400703300}
}",10.1145/3613904.3642358,,,,,,,,x,,,,,x,,,,,,,,,,x,x,,x,x,x,,,,x,,,x,,,,x,,x,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,x,,,,-,,,,,,,x,,,x,,,
126,2024,"Eric Gonzalez, Ishan Chatterjee, Mar Gonzalez-Franco, Andrea Colaço, Karan Ahuja",Intent-driven input device arbitration for XR,"@inproceedings{gonzalez2024intentdriven,
  title = {Intent-Driven Input Device Arbitration for {{XR}}},
  booktitle = {Extended Abstracts of the 2024 {{CHI}} Conference on Human Factors in Computing Systems},
  author = {Gonzalez, Eric J and Chatterjee, Ishan and {Gonzalez-Franco}, Mar and Cola{\c c}o, Andrea and Ahuja, Karan},
  year = {2024},
  series = {Chi Ea '24},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3613905.3650758},
  abstract = {Interactions with Extended Reality Head-Mounted Displays (XR HMDs) require precise, intuitive, and efficient input methods. Current approaches either rely on power-intensive sensors, such as cameras for hand tracking, or specialized hardware such as controllers. Previous work has explored the use of familiar, available devices such as smartphones and smartwatches as more a more practical input alternative. However, this approach risks interaction overload -- how can one determine whether the user's gestures on the watch or phone are directed toward control of the XR device or the mobile device itself? To this end, we propose a novel method for cross-device input arbitration based on the relative orientation between the HMD and target device as measured by on-device IMUs. In a validation study with 6 users, we demonstrate 93.7\% accuracy in estimating the intended device of interaction. Our method offers a practical, energy-efficient way to leverage users' existing devices for input and enable seamless cross-device experiences in XR.},
  articleno = {199},
  isbn = {9798400703317}
}",10.1145/3613905.3650758,,x,,,,,,x,x,x,,,,,,,,,x,,,,x,x,x,x,x,x,,,x,x,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,
131,2024,"Yhonatan Iquiapaza, Jorge Wagner, Luciana Nedel",DeAR: Combining desktop and augmented reality for visual data analysis,"@inproceedings{iquiapaza2024dear,
  title = {{{DeAR}}: {{Combining}} Desktop and Augmented Reality for Visual Data Analysis},
  booktitle = {Proceedings of the 25th Symposium on Virtual and Augmented Reality},
  author = {Iquiapaza, Yhonatan and Wagner, Jorge and Nedel, Luciana},
  year = {2024},
  series = {Svr '23},
  pages = {233--237},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3625008.3625021},
  abstract = {Combining different interfaces and displays might enhance the capabilities of data analysis, particularly in the context of Immersive Analytics. In this work, we design a prototype, called DeAR (Combining Desktop and Augmented Reality for Visual Data Analysis), which integrates a desktop environment with an augmented reality one. DeAR enables users to interact with both environments simultaneously, facilitating visualizations comparisons and diverse data analysis tasks. With our prototype, users can interact with two visualization paradigms, with changes made to visualizations in one being reflected in the other. We describe a use case scenario to demonstrate how our proposed design could facilitate exploration and selection tasks. The primary contribution of our work lies in the design and implementation of a proof-of-concept prototype, named DeAR, that allows interaction with data in hybrid environments. This prototype combines heterogeneous interfaces and displays, providing new opportunities for data analysis.},
  isbn = {9798400709432}
}",10.1145/3625008.3625021,x,,,,,,,,,,,,x,,,,,x,,,,,,,,x,x,x,,,,x,,,x,,,,x,,x,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
